Product_ID,Product_Name,Category,Subcategory,Brand,Supplier_ID,Unit_Cost_INR,Selling_Price_INR,Profit_Margin_Percent,Weight_Kg,Warranty_Months,GST_Rate,Launch_Date,Reorder_Level,Product_Status
PRD00016,Levis Shirt 16,Fashion,Shirt,Levis,SUP0257,3506,4627.92,32,2.14,12,28,2020-06-09,163,Active
PRD00017,Havells Washing Machine 17,Home Appliances,Washing Machine,Havells,SUP0304,43682,57660.24,32,37.49,36,18,2019-03-08,37,Active
PRD00018,Puma Shirt 18,Fashion,Shirt,Puma,SUP0089,1658,1939.86,17,22.54,6,28,2022-01-23,213,Active
PRD00019,IKEA Sofa 19,Furniture,Sofa,IKEA,SUP0135,21534,26702.16,24,30.95,6,12,2024-05-20,111,Active
PRD00020,Pearson Biography 20,Books,Biography,Pearson,SUP0296,1366,1871.42,37,35.13,24,28,2024-05-22,254,Active
PRD00021,Nestle Oil 21,Grocery,Oil,Nestle,SUP0116,1081,1524.21,41,19.27,6,18,2019-06-19,206,Active
PRD00022,Yonex Cricket 22,Sports,Cricket,Yonex,SUP0483,4672,6167.04,32,28.11,0,5,2021-08-01,295,Active
PRD00023,Whirlpool Mixer 23,Home Appliances,Mixer,Whirlpool,SUP0255,46020,59365.8,29,37.9,36,5,2022-04-12,106,Active
PRD00024,Accu-Chek BP Monitor 24,Healthcare,BP Monitor,Accu-Chek,SUP0031,5799,6958.8,20,31.92,24,5,2019-10-27,178,Active
PRD00025,Bosch Mixer 25,Home Appliances,Mixer,Bosch,SUP0119,9621,13758.03,43,21.28,12,5,2019-08-04,47,Discontinued
PRD00026,Hasbro Puzzle 26,Toys,Puzzle,Hasbro,SUP0277,2032,2946.4,45,13.34,6,28,2019-05-04,42,Discontinued
PRD00027,HP Mobile 27,Electronics,Mobile,HP,SUP0408,15814,22614.02,43,24.2,6,28,2019-08-08,219,Active
PRD00028,Omron Thermometer 28,Healthcare,Thermometer,Omron,SUP0195,1356,1789.92,32,4.6,36,12,2021-04-30,68,Active
PRD00029,Tata Oil 29,Grocery,Oil,Tata,SUP0044,2244,2805.0,25,24.79,24,5,2022-09-22,120,Active
PRD00030,Pearson Novel 30,Books,Novel,Pearson,SUP0127,206,261.62,27,7.95,36,18,2023-10-15,191,Active
PRD00031,Lakme Soap 31,Beauty,Soap,Lakme,SUP0325,1436,1852.44,29,22.19,12,18,2020-10-13,41,Active
PRD00032,Bloomsbury Academic 32,Books,Academic,Bloomsbury,SUP0124,1289,1598.36,24,29.3,12,12,2024-02-09,26,Active
PRD00033,Urban Ladder Sofa 33,Furniture,Sofa,Urban Ladder,SUP0489,33337,43671.47,31,35.14,6,18,2020-10-07,160,Discontinued
PRD00034,Lego Puzzle 34,Toys,Puzzle,Lego,SUP0475,7928,10464.96,32,31.16,6,12,2024-12-23,123,Active
PRD00035,Nestle Snacks 35,Grocery,Snacks,Nestle,SUP0203,640,921.6,44,12.12,36,28,2023-02-25,286,Active
PRD00036,Aashirvaad Rice 36,Grocery,Rice,Aashirvaad,SUP0282,396,566.28,43,14.0,0,28,2024-08-05,199,Active
PRD00037,IFB Microwave 37,Home Appliances,Microwave,IFB,SUP0374,35435,46065.5,30,25.89,24,5,2021-12-18,299,Active
PRD00038,Mamaearth Shampoo 38,Beauty,Shampoo,Mamaearth,SUP0053,147,176.4,20,25.78,24,18,2021-02-18,177,Active
PRD00039,LG AC 39,Home Appliances,AC,LG,SUP0222,57058,70751.92,24,21.1,12,5,2023-08-08,121,Active
PRD00040,Pearson Children 40,Books,Children,Pearson,SUP0125,2236,3040.96,36,7.74,12,28,2019-03-26,98,Active
PRD00041,Mattel Board Game 41,Toys,Board Game,Mattel,SUP0026,8758,11122.66,27,23.11,6,28,2022-03-13,28,Active
PRD00042,Nike Badminton 42,Sports,Badminton,Nike,SUP0090,14563,20533.83,41,24.88,0,18,2020-05-10,283,Active
PRD00043,Sony Smartwatch 43,Electronics,Smartwatch,Sony,SUP0356,11249,13048.84,16,3.73,6,12,2020-06-13,150,Active
PRD00044,Yonex Cricket 44,Sports,Cricket,Yonex,SUP0102,11891,17123.04,44,20.46,0,12,2023-10-30,28,Active
PRD00045,Allen Solly Shoes 45,Fashion,Shoes,Allen Solly,SUP0276,4123,5813.43,41,37.32,6,18,2023-03-05,86,Active
PRD00046,Allen Solly Shirt 46,Fashion,Shirt,Allen Solly,SUP0124,693,880.11,27,33.75,12,28,2022-12-16,247,Active
PRD00047,Hasbro Educational 47,Toys,Educational,Hasbro,SUP0188,7819,9304.61,19,23.62,12,12,2022-10-14,156,Active
PRD00048,Godrej Wardrobe 48,Furniture,Wardrobe,Godrej,SUP0341,89972,123261.64,37,1.14,24,18,2023-07-23,242,Active
PRD00049,Adidas Cricket 49,Sports,Cricket,Adidas,SUP0433,13495,17408.55,29,37.28,6,5,2019-12-21,101,Active
PRD00050,US Polo Shirt 50,Fashion,Shirt,US Polo,SUP0334,2465,2859.4,16,16.96,0,18,2022-01-21,139,Active
PRD00051,Amul Spices 51,Grocery,Spices,Amul,SUP0059,334,400.8,20,29.22,12,18,2019-12-17,137,Active
PRD00052,US Polo Jacket 52,Fashion,Jacket,US Polo,SUP0054,565,717.55,27,28.91,6,5,2021-09-30,49,Active
PRD00053,Cosco Badminton 53,Sports,Badminton,Cosco,SUP0122,13147,15907.87,21,31.23,12,5,2021-11-07,115,Active
PRD00054,Penguin Business 54,Books,Business,Penguin,SUP0044,1491,1774.29,19,33.05,0,5,2022-05-06,211,Discontinued
PRD00055,Puma Gym 55,Sports,Gym,Puma,SUP0213,9600,12288.0,28,21.77,36,28,2023-01-27,284,Active
PRD00056,Nike Gym 56,Sports,Gym,Nike,SUP0250,7599,10258.65,35,29.97,24,28,2023-11-19,229,Active
PRD00057,Adidas Gym 57,Sports,Gym,Adidas,SUP0107,2063,2908.83,41,31.89,6,12,2024-11-27,283,Active
PRD00058,Allen Solly Shirt 58,Fashion,Shirt,Allen Solly,SUP0439,5400,7074.0,31,34.96,36,18,2024-05-09,218,Active
PRD00059,Dove Cream 59,Beauty,Cream,Dove,SUP0032,428,577.8,35,28.46,6,18,2023-05-25,109,Active
PRD00060,Nivea Soap 60,Beauty,Soap,Nivea,SUP0012,1531,1791.27,17,27.57,0,12,2022-02-26,214,Active
PRD00061,Mattel Board Game 61,Toys,Board Game,Mattel,SUP0117,3390,4678.2,38,4.5,12,28,2023-09-13,205,Active
PRD00062,Allen Solly Jacket 62,Fashion,Jacket,Allen Solly,SUP0236,5206,6195.14,19,20.3,6,18,2019-10-04,263,Discontinued
PRD00063,Yonex Cricket 63,Sports,Cricket,Yonex,SUP0303,7518,10149.3,35,29.85,36,12,2022-07-14,259,Active
PRD00064,Whirlpool AC 64,Home Appliances,AC,Whirlpool,SUP0352,44978,54423.38,21,30.34,24,28,2019-09-10,169,Active
PRD00065,Puma Cycling 65,Sports,Cycling,Puma,SUP0239,523,611.91,17,25.72,0,18,2022-11-08,285,Active
PRD00066,Whirlpool Mixer 66,Home Appliances,Mixer,Whirlpool,SUP0039,32461,38953.2,20,30.29,12,12,2023-10-10,113,Active
PRD00067,HP Mobile 67,Electronics,Mobile,HP,SUP0245,5541,6704.61,21,22.5,36,28,2023-01-31,84,Active
PRD00068,Omron Thermometer 68,Healthcare,Thermometer,Omron,SUP0178,537,724.95,35,0.64,12,12,2022-05-02,54,Active
PRD00069,Hamleys Board Game 69,Toys,Board Game,Hamleys,SUP0060,408,591.6,45,39.23,12,5,2025-01-01,155,Active
PRD00070,Cosco Cricket 70,Sports,Cricket,Cosco,SUP0266,8147,10591.1,30,5.43,12,12,2024-02-10,60,Active
PRD00071,Accu-Chek Sanitizer 71,Healthcare,Sanitizer,Accu-Chek,SUP0451,8135,9762.0,20,15.88,12,12,2021-07-06,162,Active
PRD00072,Penguin Children 72,Books,Children,Penguin,SUP0448,2483,3153.41,27,26.02,36,18,2022-08-18,101,Active
PRD00073,Mattel Board Game 73,Toys,Board Game,Mattel,SUP0151,3025,4265.25,41,19.46,0,18,2019-01-30,55,Active
PRD00074,LG Washing Machine 74,Home Appliances,Washing Machine,LG,SUP0210,76873,100703.63,31,23.79,0,12,2023-11-28,75,Active
PRD00075,Hamleys Puzzle 75,Toys,Puzzle,Hamleys,SUP0033,5143,6943.05,35,3.75,6,18,2019-06-08,22,Active
PRD00076,Puma Jeans 76,Fashion,Jeans,Puma,SUP0304,2269,2722.8,20,10.45,24,12,2022-12-13,217,Active
PRD00077,Lakme Face Wash 77,Beauty,Face Wash,Lakme,SUP0236,2611,3211.53,23,37.14,36,5,2022-11-19,285,Active
PRD00078,Hasbro Educational 78,Toys,Educational,Hasbro,SUP0111,10607,12516.26,18,36.1,36,28,2024-10-19,257,Active
PRD00079,Yonex Cricket 79,Sports,Cricket,Yonex,SUP0020,4672,5466.24,17,15.9,6,28,2019-09-09,60,Active
PRD00080,Lakme Shampoo 80,Beauty,Shampoo,Lakme,SUP0441,1999,2698.65,35,21.07,0,5,2021-10-24,102,Active
PRD00081,Lakme Shampoo 81,Beauty,Shampoo,Lakme,SUP0129,334,437.54,31,11.49,6,28,2021-05-25,68,Active
PRD00082,Levis Shoes 82,Fashion,Shoes,Levis,SUP0043,4387,6054.06,38,33.35,36,28,2019-02-06,249,Active
PRD00083,IFB Mixer 83,Home Appliances,Mixer,IFB,SUP0163,24046,27652.9,15,31.52,36,28,2022-03-06,259,Active
PRD00084,Nike Cricket 84,Sports,Cricket,Nike,SUP0212,2023,2913.12,44,15.89,36,12,2023-01-07,129,Active
PRD00085,Hamleys Remote Control 85,Toys,Remote Control,Hamleys,SUP0322,4032,5080.32,26,20.31,6,5,2024-03-25,273,Active
PRD00086,IKEA Bed 86,Furniture,Bed,IKEA,SUP0152,13284,18863.28,42,21.55,12,5,2019-01-07,159,Active
PRD00087,Dove Serum 87,Beauty,Serum,Dove,SUP0012,957,1110.12,16,37.54,24,28,2022-06-04,204,Active
PRD00088,Durian Table 88,Furniture,Table,Durian,SUP0312,83301,105792.27,27,5.08,36,5,2021-05-05,226,Active
PRD00089,Funskool Educational 89,Toys,Educational,Funskool,SUP0267,3237,4208.1,30,24.29,12,18,2020-04-30,176,Active
PRD00090,Nivea Face Wash 90,Beauty,Face Wash,Nivea,SUP0404,2949,3922.17,33,12.44,0,5,2019-05-08,63,Active
PRD00091,Nilkamal Table 91,Furniture,Table,Nilkamal,SUP0231,34386,41263.2,20,23.94,12,12,2022-01-20,174,Active
PRD00092,Dettol BP Monitor 92,Healthcare,BP Monitor,Dettol,SUP0435,7607,9432.68,24,1.07,36,18,2019-04-26,266,Active
PRD00093,L'Oreal Shampoo 93,Beauty,Shampoo,L'Oreal,SUP0448,2305,3319.2,44,7.17,6,28,2022-12-11,190,Active
PRD00094,Lakme Serum 94,Beauty,Serum,Lakme,SUP0248,2056,2364.4,15,12.95,36,12,2021-12-10,187,Active
PRD00095,Omron First Aid 95,Healthcare,First Aid,Omron,SUP0211,7453,9167.19,23,37.56,36,18,2021-06-12,117,Active
PRD00096,Omron Supplements 96,Healthcare,Supplements,Omron,SUP0250,9921,13790.19,39,39.11,36,5,2021-04-06,120,Active
PRD00097,Bloomsbury Biography 97,Books,Biography,Bloomsbury,SUP0336,2325,3231.75,39,16.16,12,5,2024-11-29,41,Active
PRD00098,Puma Shirt 98,Fashion,Shirt,Puma,SUP0150,2447,3425.8,40,17.16,24,5,2020-10-20,174,Active
PRD00099,Dove Shampoo 99,Beauty,Shampoo,Dove,SUP0038,860,1161.0,35,11.52,24,12,2021-07-13,138,Active
PRD00100,Omron Thermometer 100,Healthcare,Thermometer,Omron,SUP0497,12363,14341.08,16,14.12,36,18,2020-09-25,217,Active
PRD00101,IFB Mixer 101,Home Appliances,Mixer,IFB,SUP0067,2064,2394.24,16,17.56,12,18,2024-10-22,219,Discontinued
PRD00102,Bloomsbury Biography 102,Books,Biography,Bloomsbury,SUP0462,1611,1965.42,22,15.87,24,18,2019-12-24,117,Active
PRD00103,L'Oreal Face Wash 103,Beauty,Face Wash,L'Oreal,SUP0136,112,137.76,23,21.62,36,12,2020-02-13,51,Active
PRD00104,Nike Jacket 104,Fashion,Jacket,Nike,SUP0014,1500,1830.0,22,11.49,12,5,2023-09-26,183,Active
PRD00105,Durian Wardrobe 105,Furniture,Wardrobe,Durian,SUP0255,63380,86830.6,37,7.2,6,28,2021-06-26,240,Active
PRD00106,Cosco Football 106,Sports,Football,Cosco,SUP0349,13558,16540.76,22,10.66,36,28,2023-11-11,183,Active
PRD00107,Dettol Sanitizer 107,Healthcare,Sanitizer,Dettol,SUP0203,5428,7219.24,33,31.06,36,18,2019-01-02,180,Active
PRD00108,Nike Jeans 108,Fashion,Jeans,Nike,SUP0444,4609,6360.42,38,14.72,36,12,2025-01-03,262,Active
PRD00109,McGraw Hill Academic 109,Books,Academic,McGraw Hill,SUP0385,630,875.7,39,26.31,6,5,2024-11-20,251,Active
PRD00110,Yonex Badminton 110,Sports,Badminton,Yonex,SUP0388,9956,12644.12,27,11.88,12,28,2022-05-10,23,Active
PRD00111,LG Mobile 111,Electronics,Mobile,LG,SUP0363,35781,50809.02,42,13.33,36,5,2023-12-12,90,Active
PRD00112,Dove Shampoo 112,Beauty,Shampoo,Dove,SUP0343,535,711.55,33,32.12,24,5,2023-11-07,230,Active
PRD00113,Penguin Novel 113,Books,Novel,Penguin,SUP0158,1609,2268.69,41,35.58,24,12,2024-12-08,148,Active
PRD00114,Himalaya BP Monitor 114,Healthcare,BP Monitor,Himalaya,SUP0091,6522,8935.14,37,24.52,6,18,2023-03-13,114,Active
PRD00115,Fortune Beverages 115,Grocery,Beverages,Fortune,SUP0089,1487,1814.14,22,6.36,24,28,2024-05-30,179,Active
PRD00116,Samsung Smartwatch 116,Electronics,Smartwatch,Samsung,SUP0474,20763,25123.23,21,21.3,12,28,2021-09-03,44,Active
PRD00117,Puma Shirt 117,Fashion,Shirt,Puma,SUP0378,3434,4326.84,26,6.0,24,28,2019-11-21,152,Active
PRD00118,Funskool Educational 118,Toys,Educational,Funskool,SUP0472,548,668.56,22,7.66,6,18,2023-08-19,62,Active
PRD00119,Cosco Gym 119,Sports,Gym,Cosco,SUP0499,14155,16986.0,20,31.78,6,5,2024-06-02,188,Active
PRD00120,Omron Supplements 120,Healthcare,Supplements,Omron,SUP0374,6681,9353.4,40,23.78,6,18,2023-07-11,288,Discontinued
PRD00121,Adidas Football 121,Sports,Football,Adidas,SUP0484,11837,17045.28,44,30.9,24,28,2022-04-05,233,Active
PRD00122,Nilkamal Wardrobe 122,Furniture,Wardrobe,Nilkamal,SUP0218,4463,5935.79,33,36.63,24,12,2021-10-29,264,Active
PRD00123,Lakme Shampoo 123,Beauty,Shampoo,Lakme,SUP0429,1809,2080.35,15,10.14,36,5,2021-05-27,186,Active
PRD00124,Cosco Badminton 124,Sports,Badminton,Cosco,SUP0023,4193,4905.81,17,16.68,24,28,2022-03-09,21,Active
PRD00125,Samsung TV 125,Electronics,TV,Samsung,SUP0411,8442,9708.3,15,4.96,36,5,2024-03-18,46,Active
PRD00126,Nilkamal Table 126,Furniture,Table,Nilkamal,SUP0205,67737,81961.77,21,14.29,24,5,2022-03-07,198,Active
PRD00127,Nestle Snacks 127,Grocery,Snacks,Nestle,SUP0099,898,1239.24,38,9.49,24,5,2024-04-23,63,Active
PRD00128,HP Smartwatch 128,Electronics,Smartwatch,HP,SUP0490,110432,141352.96,28,26.84,6,5,2022-03-30,185,Active
PRD00129,Bloomsbury Biography 129,Books,Biography,Bloomsbury,SUP0004,1427,2026.34,42,27.94,36,5,2022-11-03,42,Active
PRD00130,Bloomsbury Children 130,Books,Children,Bloomsbury,SUP0177,396,550.44,39,34.72,36,28,2021-11-03,56,Active
PRD00131,Penguin Business 131,Books,Business,Penguin,SUP0345,213,298.2,40,31.01,6,28,2019-01-25,125,Active
PRD00132,Amul Beverages 132,Grocery,Beverages,Amul,SUP0114,73,89.79,23,28.23,24,12,2023-10-09,257,Active
PRD00133,Amul Oil 133,Grocery,Oil,Amul,SUP0085,1679,1998.01,19,26.17,6,5,2019-04-02,183,Active
PRD00134,LG TV 134,Electronics,TV,LG,SUP0038,59545,72049.45,21,4.65,24,12,2019-07-17,260,Active
PRD00135,Aashirvaad Snacks 135,Grocery,Snacks,Aashirvaad,SUP0460,1148,1400.56,22,22.2,24,5,2019-02-08,253,Active
PRD00136,Puma Cricket 136,Sports,Cricket,Puma,SUP0352,14061,16732.59,19,1.41,36,12,2021-09-25,138,Active
PRD00137,Sony Smartwatch 137,Electronics,Smartwatch,Sony,SUP0089,116544,139852.8,20,18.81,0,18,2023-06-24,229,Active
PRD00138,Levis T-Shirt 138,Fashion,T-Shirt,Levis,SUP0267,5878,8170.42,39,1.49,6,12,2020-05-19,200,Discontinued
PRD00139,Nestle Rice 139,Grocery,Rice,Nestle,SUP0096,2198,2989.28,36,3.0,12,28,2020-10-09,49,Active
PRD00140,HarperCollins Novel 140,Books,Novel,HarperCollins,SUP0343,1951,2419.24,24,35.33,0,5,2020-10-19,178,Active
PRD00141,IKEA Wardrobe 141,Furniture,Wardrobe,IKEA,SUP0097,65006,78657.26,21,32.88,0,5,2024-11-14,84,Active
PRD00142,Samsung Headphones 142,Electronics,Headphones,Samsung,SUP0299,66503,93104.2,40,28.56,12,28,2022-03-29,100,Active
PRD00143,Havells Mixer 143,Home Appliances,Mixer,Havells,SUP0410,25649,30265.82,18,35.96,36,28,2024-02-23,102,Discontinued
PRD00144,McGraw Hill Academic 144,Books,Academic,McGraw Hill,SUP0099,1459,2100.96,44,22.47,0,5,2021-01-19,283,Active
PRD00145,Mamaearth Soap 145,Beauty,Soap,Mamaearth,SUP0117,2952,3512.88,19,10.23,6,28,2020-10-04,233,Active
PRD00146,Bloomsbury Children 146,Books,Children,Bloomsbury,SUP0287,1218,1741.74,43,25.39,6,28,2023-04-21,50,Active
PRD00147,Whirlpool Refrigerator 147,Home Appliances,Refrigerator,Whirlpool,SUP0289,24257,30563.82,26,29.05,6,28,2024-03-10,153,Active
PRD00148,Sony Mobile 148,Electronics,Mobile,Sony,SUP0213,27740,33288.0,20,14.14,24,12,2023-09-26,194,Active
PRD00149,Sony Mobile 149,Electronics,Mobile,Sony,SUP0160,32970,42531.3,29,20.47,24,18,2023-05-21,228,Active
PRD00150,Bloomsbury Children 150,Books,Children,Bloomsbury,SUP0155,2465,2884.05,17,22.11,0,18,2023-02-28,290,Active
PRD00151,IKEA Wardrobe 151,Furniture,Wardrobe,IKEA,SUP0302,17171,23695.98,38,8.46,12,28,2024-09-10,20,Active
PRD00152,Hamleys Board Game 152,Toys,Board Game,Hamleys,SUP0033,4993,7189.92,44,9.0,12,12,2020-04-24,143,Active
PRD00153,HP Headphones 153,Electronics,Headphones,HP,SUP0265,89130,114086.4,28,36.19,6,28,2021-10-01,148,Active
PRD00154,Himalaya BP Monitor 154,Healthcare,BP Monitor,Himalaya,SUP0192,14455,17346.0,20,35.18,0,5,2022-12-10,135,Active
PRD00155,Urban Ladder Wardrobe 155,Furniture,Wardrobe,Urban Ladder,SUP0500,44581,59292.73,33,6.16,6,28,2021-11-27,264,Active
PRD00156,Dettol BP Monitor 156,Healthcare,BP Monitor,Dettol,SUP0253,148,190.92,29,3.85,0,28,2023-01-31,161,Active
PRD00157,Mamaearth Face Wash 157,Beauty,Face Wash,Mamaearth,SUP0268,460,593.4,29,20.05,0,18,2022-01-07,245,Active
PRD00158,Nike Gym 158,Sports,Gym,Nike,SUP0304,9381,11069.58,18,7.24,0,5,2019-10-26,129,Active
PRD00159,Durian Table 159,Furniture,Table,Durian,SUP0157,72868,101286.52,39,15.85,36,18,2019-11-22,31,Discontinued
PRD00160,Hamleys Remote Control 160,Toys,Remote Control,Hamleys,SUP0037,9236,11545.0,25,23.11,36,28,2024-04-18,169,Active
PRD00161,Bloomsbury Biography 161,Books,Biography,Bloomsbury,SUP0119,1002,1352.7,35,24.14,36,18,2022-09-20,149,Active
PRD00162,Nike Badminton 162,Sports,Badminton,Nike,SUP0015,14806,17619.14,19,38.5,36,18,2019-12-18,295,Active
PRD00163,Accu-Chek BP Monitor 163,Healthcare,BP Monitor,Accu-Chek,SUP0416,9955,14434.75,45,14.39,24,18,2022-02-28,198,Active
PRD00164,Levis Shoes 164,Fashion,Shoes,Levis,SUP0430,2282,3012.24,32,21.84,24,12,2020-01-13,172,Active
PRD00165,Mamaearth Serum 165,Beauty,Serum,Mamaearth,SUP0020,2747,3955.68,44,9.47,12,5,2024-05-04,51,Active
PRD00166,Puma Shoes 166,Fashion,Shoes,Puma,SUP0098,494,701.48,42,0.81,24,28,2023-11-17,231,Active
PRD00167,Nike Football 167,Sports,Football,Nike,SUP0058,4525,5384.75,19,37.32,12,5,2020-08-22,289,Active
PRD00168,Accu-Chek First Aid 168,Healthcare,First Aid,Accu-Chek,SUP0173,8090,9384.4,16,20.43,0,18,2020-04-26,273,Active
PRD00169,Yonex Cycling 169,Sports,Cycling,Yonex,SUP0105,11536,13727.84,19,5.66,12,18,2019-11-08,209,Active
PRD00170,Amul Rice 170,Grocery,Rice,Amul,SUP0056,731,884.51,21,39.83,36,18,2022-06-03,83,Discontinued
PRD00171,Nike Jeans 171,Fashion,Jeans,Nike,SUP0078,1502,2012.68,34,17.77,6,18,2024-02-08,264,Active
PRD00172,Samsung Headphones 172,Electronics,Headphones,Samsung,SUP0339,66429,85029.12,28,17.15,12,5,2023-09-21,211,Active
PRD00173,Puma Gym 173,Sports,Gym,Puma,SUP0116,14870,20074.5,35,30.94,24,28,2020-11-15,44,Active
PRD00174,Nestle Beverages 174,Grocery,Beverages,Nestle,SUP0136,1729,2126.67,23,29.62,12,18,2021-05-23,38,Active
PRD00175,McGraw Hill Novel 175,Books,Novel,McGraw Hill,SUP0500,1593,1895.67,19,11.17,24,18,2023-11-06,295,Active
PRD00176,Mattel Board Game 176,Toys,Board Game,Mattel,SUP0018,10830,15703.5,45,15.64,6,18,2024-12-07,205,Active
PRD00177,Mamaearth Shampoo 177,Beauty,Shampoo,Mamaearth,SUP0258,397,456.55,15,17.44,6,18,2023-06-09,269,Active
PRD00178,HarperCollins Novel 178,Books,Novel,HarperCollins,SUP0167,1470,2028.6,38,32.78,24,18,2021-03-12,130,Discontinued
PRD00179,Lakme Serum 179,Beauty,Serum,Lakme,SUP0270,2081,3017.45,45,22.23,36,18,2023-06-07,138,Active
PRD00180,L'Oreal Face Wash 180,Beauty,Face Wash,L'Oreal,SUP0341,2790,3738.6,34,0.23,36,12,2024-06-04,275,Discontinued
PRD00181,LG Microwave 181,Home Appliances,Microwave,LG,SUP0410,79047,114618.15,45,25.19,24,5,2021-07-23,240,Active
PRD00182,Dove Cream 182,Beauty,Cream,Dove,SUP0399,1330,1755.6,32,9.52,6,5,2023-06-04,62,Active
PRD00183,Bosch Microwave 183,Home Appliances,Microwave,Bosch,SUP0345,38078,50643.74,33,17.87,36,18,2019-07-30,222,Active
PRD00184,Lego Puzzle 184,Toys,Puzzle,Lego,SUP0463,8815,12341.0,40,2.15,24,12,2021-07-22,221,Active
PRD00185,Nilkamal Wardrobe 185,Furniture,Wardrobe,Nilkamal,SUP0352,13902,16543.38,19,7.47,24,18,2022-05-16,276,Active
PRD00186,IKEA Table 186,Furniture,Table,IKEA,SUP0078,16010,20973.1,31,7.33,36,28,2022-08-02,114,Active
PRD00187,Havells Washing Machine 187,Home Appliances,Washing Machine,Havells,SUP0402,74436,93789.36,26,34.81,24,18,2024-05-06,159,Active
PRD00188,Bosch Microwave 188,Home Appliances,Microwave,Bosch,SUP0330,71521,94407.72,32,22.29,12,12,2020-10-30,77,Active
PRD00189,US Polo Jeans 189,Fashion,Jeans,US Polo,SUP0059,5628,7935.48,41,3.41,6,18,2022-03-14,199,Discontinued
PRD00190,Puma Badminton 190,Sports,Badminton,Puma,SUP0433,1130,1491.6,32,20.13,36,28,2021-11-02,74,Active
PRD00191,Accu-Chek BP Monitor 191,Healthcare,BP Monitor,Accu-Chek,SUP0063,2682,3647.52,36,27.53,36,28,2019-04-09,171,Active
PRD00192,Whirlpool Washing Machine 192,Home Appliances,Washing Machine,Whirlpool,SUP0322,73868,87902.92,19,20.58,36,5,2024-04-13,81,Active
PRD00193,IKEA Wardrobe 193,Furniture,Wardrobe,IKEA,SUP0225,6709,8520.43,27,22.29,12,12,2020-11-29,245,Active
PRD00194,Puma Shirt 194,Fashion,Shirt,Puma,SUP0033,5727,7387.83,29,15.34,0,28,2020-12-19,284,Active
PRD00195,Nestle Beverages 195,Grocery,Beverages,Nestle,SUP0392,104,134.16,29,19.07,36,12,2020-11-07,189,Active
PRD00196,Lakme Face Wash 196,Beauty,Face Wash,Lakme,SUP0402,482,607.32,26,6.01,6,12,2020-08-06,248,Active
PRD00197,McGraw Hill Novel 197,Books,Novel,McGraw Hill,SUP0285,397,520.07,31,29.94,6,5,2024-12-29,162,Active
PRD00198,Mamaearth Face Wash 198,Beauty,Face Wash,Mamaearth,SUP0087,919,1240.65,35,11.84,12,28,2023-04-18,91,Active
PRD00199,Durian Chair 199,Furniture,Chair,Durian,SUP0428,85444,119621.6,40,37.97,0,28,2022-01-15,219,Active
PRD00200,Nike Jacket 200,Fashion,Jacket,Nike,SUP0465,363,500.94,38,2.96,36,12,2024-04-23,122,Active
PRD00201,Godrej Table 201,Furniture,Table,Godrej,SUP0082,42223,57845.51,37,7.17,36,12,2022-08-11,25,Active
PRD00202,Fortune Beverages 202,Grocery,Beverages,Fortune,SUP0473,714,849.66,19,16.1,0,5,2019-02-20,150,Active
